,Unidade Territorial,Habitantes,Renda per Capita R$,Renda Domiciliar per Capita R$
0,Águas Claras,117.346,"4.658,36","5.133,65"
1,Arniqueira,39.236,"1.764,19","2.012,43"
2,Brazlândia,53.534,"1.026,97","1.129,13"
3,Candangolândia,16.489,"1.405,73","1.434,56"
4,Ceilândia,349.955,"1.107,64","1.224,75"
5,Cruzeiro,31.079,"3.127,81","3.749,44"
7,Fercal,8.687,"739,29","816,5"
8,Gama,132.404,"1.348,12","1.607,29"
9,Guará,133.748,"3.215,32","3.688,76"
10,Itapoã,62.234,"814,64","929,57"
11,Jardim Botânico,51.650,"3.720,83","4.122,59"
12,Lago Norte,36.474,"5.329,57","6.112,26"
13,Lago Sul,29.662,"7.663,09","8.355,04"
14,Núcleo Bandeirante,24.786,"2.061,98","2.365,57"
15,Paranoá,65.519,"733,27","832,15"
16,Park Way,19.022,"5.768,63","6.138,45"
17,Planaltina,177.540,"977,47","1.139,4"
18,Plano Piloto,217.073,"5.916,22","6.776,86"
19,Recanto das Emas,131.058,"774,01","859,62"
20,Riacho Fundo,42.022,"1.157,29","1.328,16"
21,Riacho Fundo II,85.047,"756,87","802,92"
22,Samambaia,231.942,"857,78","996,92"
23,Santa Maria,126.262,"853,52","965,87"
24,São Sebastião,92.750,"894,31","1.051,43"
25,SCIA-Estrutural,35.520,"485,97","573,34"
26,SIA,1.926,"3.000,31","3.903,15"
27,Sobradinho,69.363,"2.200,09","2.516,79"
28,Sobradinho II,76.125,"1.696,17","2.021,56"
29,Sol Nascente/Por do Sol,83.102,"649,3","710,04"
30,Sudoeste/Octogonal,54.559,"6.655,28","7.137,38"
31,Taguatinga,210.142,"1.895,06","2.258,25"
32,Varjão,8.891,"713,22","840,5"
33,Vicente Pires,66.753,"2.685,03","2.959,64"
