Unidade Territorial;Habitantes;Homens (%);Mulheres (%);Renda per Capita R$;Renda Domiciliar per Capita R$;Conectados à Internet (%);Automóveis por habitante;Domicílios;Habitantes por Domicílio;Esgoto (%);Água (%);Energia Elétrica (%)
Águas Claras;117.346;47,41;52,59;4.658,36;5.133,65;99,76;2,25;41.622;2,82;100;100;99,7
Arniqueira;39.236;48,85;51,15;1.764,19;2.012,43;97,11;3,31;10.863;3,61;77,7;98,5;100
Brazlândia;53.534;48,4;51,6;1.026,97;1.129,13;90,86;4,79;15.684;3,41;99,6;99,4;100
Candangolândia;16.489;47,77;52,23;1.405,73;1.434,56;98,84;3,66;4.613;3,57;97;100;100
Ceilândia;349.955;47,48;52,52;1.107,64;1.224,75;90,34;4,76;103.408;3,38;99,6;99,8;99,9
Cruzeiro;31.079;45,91;54,09;3.127,81;3.749,44;96,43;2,34;10.950;2,84;99,8;99,8;100
Distrito Federal;2.881.900;47,81;52,19;2.047,86;2.492,09;94,79;3,4;883.214;3,26;92,74;98,57;99,43
Fercal;8.687;50,8;49,2;739,29;816,5;86,74;5,37;2.333;3,72;19,3;68;99,6
Gama;132.404;47,55;52,45;1.348,12;1.607,29;90,16;3,85;39.314;3,37;94,4;97,1;99,4
Guará;133.748;46,22;53,78;3.215,32;3.688,76;95,82;2,69;41.240;3,24;98,8;99,9;99,9
Itapoã;62.234;49,7;50,3;814,64;929,57;91,35;5,2;18.037;3,45;95,4;99,6;100
Jardim Botânico;51.650;49,05;50,95;3.720,83;4.122,59;98,76;2,38;15.772;3,27;70,1;87,6;100
Lago Norte;36.474;48,15;51,85;5.329,57;6.112,26;99,45;1,72;11.671;3,13;84,7;93,4;99,5
Lago Sul;29.662;47,82;52,18;7.663,09;8.355,04;99,72;1,54;8.432;3,52;93,6;98,3;99,5
Núcleo Bandeirante;24.786;46,54;53,46;2.061,98;2.365,57;97,47;3,09;8.032;3,09;95,7;98,9;99,8
Paranoá;65.519;47,9;52,1;733,27;832,15;90,8;6,73;19.034;3,44;99,2;98,8;100
Park Way;19.022;48,48;51,52;5.768,63;6.138,45;96,92;1,8;4.903;3,88;58,9;99,4;100
Planaltina;177.540;48,33;51,67;977,47;1.139,4;93,4;4,71;51.799;3,43;89,3;99,7;99,9
Plano Piloto;217.073;46,38;53,62;5.916,22;6.776,86;99,28;2,04;83.995;2,58;99,5;99,8;100
Recanto das Emas;131.058;48,29;51,71;774,01;859,62;98,09;4,56;37.152;3,53;95,7;99,5;100
Riacho Fundo;42.022;47,51;52,49;1.157,29;1.328,16;99,63;3,48;13.540;3,1;92,7;99,9;99,7
Riacho Fundo II;85.047;49,07;50,93;756,87;802,92;98,65;4,47;26.127;3,26;96,1;99,8;100
Samambaia;231.942;48,4;51,6;857,78;996,92;98,4;4,54;68.543;3,38;99,5;100;99,9
Santa Maria;126.262;48,15;51,85;853,52;965,87;91,99;5,12;35.557;3,55;99;99,1;100
São Sebastião;92.750;48,94;51,06;894,31;1.051,43;92,92;6,48;25.445;3,65;98,3;99,8;99,8
SCIA-Estrutural;35.520;50,66;49,34;485,97;573,34;80,16;8,3;10.081;3,52;62,9;86,2;71,5
SIA;1.926;59,29;40,71;3.000,31;3.903,15;99,57;2,43;650;2,96;100;100;100
Sobradinho;69.363;46,77;53,23;2.200,09;2.516,79;95,08;2,98;21.234;3,27;74,6;95,4;99,9
Sobradinho II;76.125;48,14;51,86;1.696,17;2.021,56;96,04;3,06;21.535;3,53;52,6;85,7;99,7
Sol Nascente/Por do Sol;83.102;49,84;50,16;649,3;710,04;85,19;5,81;21.902;3,79;53,9;98,6;98,6
Sudoeste/Octogonal;54.559;47,05;52,95;6.655,28;7.137,38;98,97;1,59;22.451;2,43;100;100;99,7
Taguatinga;210.142;46,08;53,92;1.895,06;2.258,25;96;3,12;65.230;3,22;100;99,9;100
Varjão;8.891;48,95;51,05;713,22;840,5;78,66;7,24;2.749;3,23;99,8;100;100
Vicente Pires;66.753;49,42;50,58;2.685,03;2.959,64;97,95;2,33;19.316;3,46;69,3;99,2;99,9
Águas Lindas de Goiás;206.758;50;50;616,9;2.034,73;74,65;6,54;61.853;3,34;38;90;100
Alexânia;22.118;51;49;710,51;2.020,44;55,11;5,5;7.290;3,03;2;88;98
Cidade Ocidental;63.994;49;51;674,2;2.315,11;58,9;6,27;18.790;3,41;13;94;96
Cocalzinho de Goíás;15.001;49;51;587,74;1.751,45;74,77;5,77;4.949;3,03;1;92;100
Cristalina;45.652;51;49;748,54;2.441,67;55,09;5,22;13.501;3,38;6;80;96
Formosa;106.462;48;52;768,09;2.413,03;69,56;5,45;32.884;3,24;31;97;99
Luziânia;199.462;50;50;626,04;1.941,43;61,09;6,03;62.318;3,2;18;74;98
Novo Gama;108.883;50;50;607,3;1.871,31;61,23;6,58;33.345;3,27;15;95;97
Padre Bernardo;26.112;49;51;577,84;1.746,59;73,08;5,82;8.569;3,05;8;91;99
Planaltina de Goiás;84.698;49;51;643,1;2.068,82;75,56;6,02;26.227;3,23;23;94;98
Santo Antônio do Descoberto;64.567;50;50;591,8;1.842,85;57,14;6,17;19.919;3,24;15;87;99
Valparaíso de Goiás;164.663;50;50;829,34;2.508,92;86,81;4,97;53.816;3,06;30;94;99
