,time,latitude,longitude
0,2017-07-10 21:54:55.000,-158435983,-479822967
1,2017-07-10 21:55:10.000,-158447417,-479812533
2,2017-07-10 21:55:25.000,-158455183,-479802950
3,2017-07-10 21:56:06.000,-158467150,-479772617
4,2017-07-10 21:56:22.000,-158467950,-479768150
5,2017-07-10 21:56:38.000,-158471783,-479754383
6,2017-07-10 21:57:09.000,-158518450,-479753167
7,2017-07-10 21:57:30.000,-158550433,-479754900
8,2017-07-10 21:57:46.000,-158562217,-479763067
9,2017-07-10 21:58:02.000,-158563517,-479764683
10,2017-07-10 21:58:17.000,-158564267,-479765083
11,2017-07-10 21:58:33.000,-158564917,-479765350
12,2017-07-10 21:58:48.000,-158565483,-479765833
13,2017-07-10 21:59:04.000,-158566233,-479766933
14,2017-07-10 21:59:33.000,-158566800,-479767950
15,2017-07-10 21:59:49.000,-158567817,-479768850
16,2017-07-10 22:00:05.000,-158568533,-479769000
17,2017-07-10 22:00:20.000,-158569217,-479769283
18,2017-07-10 22:00:36.000,-158569717,-479769616
19,2017-07-10 22:00:51.000,-158570033,-479769683
20,2017-07-10 22:01:06.000,-158570550,-479770066
21,2017-07-10 22:01:37.000,-158572333,-479771133
22,2017-07-10 22:01:52.000,-158573967,-479772233
23,2017-07-10 22:02:13.772,-158574467,-479772817
24,2017-07-10 22:02:23.000,-158574300,-479772583
25,2017-07-10 22:02:38.000,-158575600,-479774167
26,2017-07-10 22:03:10.000,-158580617,-479778300
27,2017-07-10 22:03:25.000,-158581250,-479779117
28,2017-07-10 22:03:40.000,-158582017,-479780167
29,2017-07-10 22:03:56.000,-158583150,-479781267
30,2017-07-10 22:04:12.000,-158584017,-479782417
31,2017-07-10 22:04:27.000,-158584933,-479783433
32,2017-07-10 22:04:43.000,-158586467,-479785083
33,2017-07-10 22:04:58.000,-158587433,-479786933
34,2017-07-10 22:05:13.000,-158588883,-479789967
35,2017-07-10 22:05:29.000,-158590000,-479793450
36,2017-07-10 22:05:49.000,-158592000,-479797983
37,2017-07-10 22:06:05.000,-158594050,-479802583
38,2017-07-10 22:06:21.000,-158596850,-479806200
39,2017-07-10 22:06:37.000,-158599683,-479808367
40,2017-07-10 22:06:52.000,-158601150,-479809350
41,2017-07-10 22:07:08.000,-158602417,-479809667
42,2017-07-10 22:07:23.000,-158604317,-479809983
43,2017-07-10 22:07:39.000,-158606917,-479809733
44,2017-07-10 22:07:54.000,-158607833,-479809600
45,2017-07-10 22:08:10.000,-158607767,-479809583
46,2017-07-10 22:08:25.000,-158608433,-479809383
47,2017-07-10 22:08:40.000,-158609717,-479808767
48,2017-07-10 22:10:58.068,-158614451,-479797003
49,2017-07-10 22:11:43.213,-158632940,-479793678
50,2017-07-10 22:11:52.000,-158630167,-479788367
51,2017-07-10 22:12:14.445,-158632733,-479786067
52,2017-07-10 22:12:23.000,-158633767,-479784667
53,2017-07-10 22:12:39.000,-158635850,-479782583
54,2017-07-10 22:12:54.000,-158638383,-479779849
55,2017-07-10 22:13:09.000,-158647367,-479770750
56,2017-07-10 22:13:24.000,-158657383,-479760383
57,2017-07-10 22:13:40.000,-158670583,-479748917
58,2017-07-10 22:13:55.000,-158683517,-479741333
59,2017-07-10 22:14:10.000,-158694383,-479735500
60,2017-07-10 22:14:26.000,-158703017,-479734633
61,2017-07-10 22:14:41.000,-158706100,-479738650
62,2017-07-10 22:14:57.000,-158707117,-479740516
63,2017-07-10 22:15:13.000,-158708767,-479742966
64,2017-07-10 22:15:29.000,-158713183,-479751850
65,2017-07-10 22:15:44.000,-158718617,-479762417
66,2017-07-10 22:16:16.334,-158736140,-479778007
67,2017-07-10 22:16:25.000,-158732583,-479789450
68,2017-07-10 22:16:40.000,-158734500,-479793367
69,2017-07-10 22:17:48.107,-158110049,-480783861
70,2017-07-10 22:17:57.000,-158757333,-479846650
71,2017-07-10 22:18:12.000,-158757833,-479849267
72,2017-07-10 22:18:39.000,-158759700,-479866183
73,2017-07-10 22:18:55.000,-158759967,-479872366
74,2017-07-10 22:19:11.000,-158761333,-479887650
75,2017-07-10 22:19:26.000,-158762783,-479905517
76,2017-07-10 22:19:42.000,-158764683,-479927417
77,2017-07-10 22:19:58.000,-158766800,-479949567
78,2017-07-10 22:20:14.000,-158768683,-479970383
79,2017-07-10 22:20:30.000,-158769850,-479984867
80,2017-07-10 22:20:45.000,-158771283,-480000900
81,2017-07-10 22:21:01.000,-158772883,-480021067
82,2017-07-10 22:21:16.000,-158774600,-480039700
83,2017-07-10 22:21:32.000,-158776133,-480059417
84,2017-07-10 22:21:47.000,-158778083,-480077367
85,2017-07-10 22:22:03.000,-158779017,-480087217
86,2017-07-10 22:22:19.000,-158779483,-480098667
87,2017-07-10 22:22:34.000,-158778800,-480111149
88,2017-07-10 22:22:53.000,-158784917,-480107817
89,2017-07-10 22:23:09.000,-158781817,-480092833
90,2017-07-10 22:23:24.000,-158780783,-480077833
91,2017-07-10 22:23:40.000,-158779800,-480066700
92,2017-07-10 22:23:55.000,-158778750,-480054800
93,2017-07-10 22:24:11.000,-158776067,-480037750
94,2017-07-10 22:24:26.000,-158775483,-480017967
95,2017-07-10 22:24:42.000,-158778833,-480004883
96,2017-07-10 22:24:58.000,-158788700,-480004467
97,2017-07-10 22:25:13.000,-158787967,-480004550
98,2017-07-10 22:25:28.000,-158798367,-480006332
99,2017-07-10 22:25:44.000,-158799817,-480024767
100,2017-07-10 22:25:59.000,-158801150,-480038733
101,2017-07-10 22:26:15.000,-158802450,-480058850
102,2017-07-10 22:26:31.000,-158804217,-480076317
103,2017-07-10 22:26:50.000,-158805267,-480089417
104,2017-07-11 00:59:31.624,-158807334,-480107843
105,2017-07-11 00:59:48.000,-158819583,-480088450
106,2017-07-11 01:00:04.000,-158819550,-480088099
107,2017-07-11 01:06:42.000,-158819117,-480086917
108,2017-07-11 01:06:58.000,-158818750,-480086317
109,2017-07-11 01:07:14.000,-158818900,-480086400
110,2017-07-11 01:07:30.000,-158818833,-480086433
111,2017-07-11 01:07:46.000,-158819217,-480086200
112,2017-07-11 01:08:01.000,-158819150,-480086167
113,2017-07-11 01:08:17.000,-158822600,-480085817
114,2017-07-11 01:08:33.000,-158814900,-480084067
115,2017-07-11 01:08:48.000,-158808600,-480085417
116,2017-07-11 01:09:03.000,-158806333,-480080567
117,2017-07-11 01:09:19.000,-158804700,-480068483
118,2017-07-11 01:09:35.000,-158804917,-480077750
119,2017-07-11 01:09:50.000,-158805983,-480090467
120,2017-07-11 01:10:06.000,-158803050,-480104817
121,2017-07-11 01:10:22.000,-158792167,-480105517
