,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-157814999.0,-480011482.0,"Scia Q 2 Conjunto F, 62 - Brasília, DF, 70297-400, Brasil","Scia Q 2 Conjunto F, 62",2017-10-04 23:23:11.000,2017-10-05 09:56:51.721
1,-158190139.0,-481543204.0,"SH Sol Nascente 128 A Conjunto H, SH Sol Nascente Condominio 5 - Ceilândia, Brasília - DF, Brasil",Supermercado Gardel,2017-10-07 01:32:41.000,2017-10-07 01:45:16.347
2,-158429276.0,-479724797.0,"Sria II Qe 34 Conjunto M, 18 - Guará, Brasília - DF, 71065-132, Brasil","Sria II Qe 34 Conjunto M, 18",2017-10-07 15:10:50.014,2017-10-07 15:18:37.000
3,-158432032.0,-479687172.0,"Entrequadras 34/36 Conjunto F, Guará II QE 34 - Guará, Brasília - DF, 71065-023, Brasil",Educational Center 01 Guará,2017-10-07 15:26:14.760,2017-10-07 15:42:37.197
4,-158036652.0,-479404672.0,"SHC AOS Entrequadras 2/8 lote 5, Octogonal - Sul, Brasília - DF, 70660-090, Brasil",Terraço Shopping,2017-10-08 13:04:25.000,2017-10-08 13:12:30.000
5,-158395459.0,-479758036.0,"QE 17/19 Área Especial B, Guará, Brasília - DF, 71050-175, Brasil",Educational Center 03,2017-10-12 20:01:04.455,2017-10-12 21:24:11.485
6,-157938729.0,-478820065.0,"Brasília, DF, 70297-400, Brasil",Rodoviária Plano Piloto - A2,2017-10-18 14:31:57.064,2017-10-18 14:38:27.428
7,-157834924.0,-479358511.0,"Primeira Avenida, 3220 - Brasília, DF, 70297-400, Brasil",Health Center No. 14,2017-10-21 14:12:17.000,2017-10-21 14:22:38.759
8,-157878309.0,-479400926.0,"V. RE, 2 - Cruzeiro Velho, Brasília - DF, 70640-040, Brasil",Rossoni Pastelaria e carne de sol,2017-10-21 14:31:05.370,2017-10-21 15:02:17.240
9,-157816772.0,-480010872.0,"Scia Q 2 Conjunto F, 62 - Brasília, DF, 70297-400, Brasil","Scia Q 2 Conjunto F, 62",2017-10-27 01:22:08.000,2017-10-27 13:46:31.277
