,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-234345529.0,-464781260.0,"Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brasil",GRU Airport,2017-11-06 19:42:46.388,2017-11-06 20:26:55.687
1,-254342260.0,-492605431.0,"R. Mariano Torres, 927 - Centro, Curitiba - PR, 80060-120, Brasil",ibis budget Curitiba Centro,2017-11-06 22:32:52.921,2017-11-06 23:02:29.200
2,-254321144.0,-492626657.0,"R. Dr. Faivre, 507 - Centro, Curitiba - PR, 80060-140, Brasil",Pizzaria Água na Boca,2017-11-06 23:56:24.904,2017-11-07 00:29:13.460
3,-254468370.0,-492453410.0,"Av. Com. Franco, 1341 - Jardim Botânico, Curitiba - PR, 80215-090, Brasil",FIEP Event Center,2017-11-08 16:42:15.389,2017-11-08 16:54:57.774
4,-157433100.0,-478988880.0,"SHCGN SHCGN 703 Bl H CASA 12 - Asa Norte, Brasília - DF, 70730-708, Brasil",House of Culture Brasilia,2017-11-10 15:43:58.225,2017-11-10 19:14:46.563
5,-157973474.0,-478781209.0,"Setor Cultural Sul, Lote 2 próximo à Rodoviária do Plano Piloto, Brasília, DF, 70070-150, Brasil",MUSEU Nacional da República,2017-11-11 12:46:41.355,2017-11-11 14:26:19.706
6,-157839297.0,-479963645.0,"Scia Q 2 Conjunto 1, 29354 - Brasília, DF, 71266-020, Brasil",Loterias Estrutural,2017-11-11 14:58:46.024,2017-11-11 15:10:23.041
7,-159031144.0,-480642696.0,"R. Quinze de Novembro, 1960 - Centro, São José dos Pinhais - PR, 83005-000, Brasil",Lojas Americanas,2017-11-11 15:54:32.513,2017-11-11 17:02:35.979
8,-159047240.0,-480649800.0,"Qd 203 Lote 32, Av. Recanto das Emas - Recanto das Emas, Brasília - DF, 72610-300, Brasil",Coordenação Regional de Ensino de Recanto das Emas,2017-11-11 17:04:33.604,2017-11-11 17:51:54.688
9,-159031144.0,-480642696.0,"R. Quinze de Novembro, 1960 - Centro, São José dos Pinhais - PR, 83005-000, Brasil",Lojas Americanas,2017-11-11 17:53:56.196,2017-11-11 18:06:15.477
10,-158190139.0,-481543204.0,"SH Sol Nascente 128 A Conjunto H, SH Sol Nascente Condominio 5 - Ceilândia, Brasília - DF, Brasil",Supermercado Gardel,2017-11-11 18:53:56.397,2017-11-11 20:59:54.092
